awb,qty,length_cm,width_cm,height_cm,weight_kg,volume_cbm,shc
180-32542576,29,61,53,50,1188.5,,PER
180-25747024,22,78,25,48,491.6,,PER
180-25747024,6,36,45,21,17.5,,PER
180-11544330,19,57,26,53,370.1,,GEN
180-11544330,1,170,94,122,446.3,,GEN
180-11544330,5,108,71,86,932.7,,GEN
180-26777262,6,,,,1622.2,5.516,DGR
180-94020242,3,132,82,79,536.8,,GEN
180-94020242,1,122,95,97,208.7,,GEN
180-94020242,2,115,96,102,362.1,,GEN
180-72864735,30,,,,710.1,4.396,DGR
180-14961855,4,129,107,97,1190.9,,
180-14961855,39,44,25,32,387.7,,
180-14961855,27,55,57,42,643.5,,
180-55177592,38,80,57,28,1217.9,,FRA
180-55177592,40,33,55,43,387.0,,FRA
180-55177592,27,61,47,46,286.1,,FRA
180-65555641,40,65,36,25,597.5,,
180-52831236,22,,,,97.5,0.723,DGR
180-28369143,38,40,35,36,554.3,,
180-28369143,4,131,115,78,1102.6,,
180-93297816,11,56,37,36,111.4,,
180-93297816,1,103,108,87,125.4,,
